validator_moniker,block_date,num_blocks_proposed,empty_block_pct,rolling_7day_avg_empty_block_pct
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-08,848,0.01179245283018868,0.24082989541994515
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-09,882,0.017006802721088437,0.16277016050211815
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-10,865,0.033526011560693639,0.099263181252194313
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-11,821,0.085261875761266745,0.054180037524298119
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-12,896,0.1171875,0.039519074454859818
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-13,924,0.14285714285714285,0.059471310668494204
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-14,922,0.21258134490238612,0.08860187580468093
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-15,953,0.22560335781741866,0.11914629080285663
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-16,952,0.27836134453781514,0.15648265391953187
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-17,937,0.28068303094983993,0.19179079954655279
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-18,1112,0.210431654676259,0.2096721965344088
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-19,1188,0.20875420875420875,0.22275315492786721
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-20,1176,0.20153061224489796,0.23113507912611794
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-21,1099,0.15104640582347589,0.22234437354341646
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-22,1083,0.16435826408125578,0.21359507443825035
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-23,1087,0.14259429622815087,0.19419978182258402
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-24,1094,0.20475319926873858,0.18335266301099812
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-25,1097,0.26435733819507751,0.19105633208511505
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-26,1145,0.27248908296943231,0.20016131411586127
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-27,1227,0.37245313773431132,0.22457881775720603
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-28,1249,0.53803042433947157,0.27986224897377687
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-29,1248,0.48878205128205127,0.32620850428817622
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-11-30,1295,0.45868725868725868,0.37136464178233447
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-01,1407,0.56929637526652455,0.42344223835344674
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-02,1267,0.24782951854775059,0.42108112126097147
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-03,1251,0.26458832933653076,0.41995244217055694
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-04,1215,0.20987654320987653,0.396727214381352
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-05,1204,0.20681063122923588,0.34941010107988973
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-06,1227,0.34963325183374083,0.32953170115870256
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-07,1237,0.44543249797898143,0.32763816391466294
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-08,1249,0.45796637309847876,0.31173387789065637
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-09,1197,0.29657477025898077,0.318697485277975
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-10,1205,0.21576763485477179,0.31172310035200945
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-11,1273,0.39748625294579731,0.338524487457141
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-12,1199,0.36613844870725604,0.36128560423971529
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-13,1209,0.39288668320926384,0.36746466586479
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-14,1261,0.5273592386994449,0.37916848596771335
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-15,1251,0.57873701039168668,0.39642143415245734
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-12-16,430,0.5,0.42548218125831722
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-01,1145,0.48995633187772925,0.48995633187772925
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-02,1178,0.41680814940577249,0.45338224064175087
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-03,1152,0.12065972222222222,0.34247473450190796
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-04,1138,0.0017574692442882249,0.25729541818750307
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-05,1125,0.00088888888888888893,0.20601411232778022
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-06,1079,0.10658016682113068,0.18944178807667195
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-07,956,0.19351464435146443,0.19002362468735659
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-08,967,0.17166494312306102,0.14455342629383255
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-09,985,0.011167512690355329,0.08660476390591583
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-10,955,0.0083769633507853412,0.070564369781424843
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-11,910,0.13956043956043956,0.09025050839801789
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-12,917,0.0806979280261723,0.10165179970334409
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-13,860,0.031395348837209305,0.090911111419926749
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-14,826,0.047215496368038741,0.070011233136580225
1FA9EB7D45CDD57607C72EA77FDE8500E479DAD7,2024-06-15,868,0.37442396313364057,0.098976807423805879
